𤭢	亠人人十瓦
亸	亠口了丷田十
剟	又又又又刂
驮	马大
㙍	土又又又又
饿	饣我
呃	口厂㔾
恶	亚心
额	宀夂口页
俄	亻我
愕	忄口口一丂
鹅	我鸟
噩	王吅口口
娥	女我
厄	厂㔾
峨	山我
鄂	口口一丂⻏
遏	辶曰勹𠃊人
扼	扌厂㔾
鳄	鱼口口一丂
蛾	虫我
婀	女⻖可
讹	讠亻𠤎
锷	钅口口一丂
颚	口口一丂页
鹗	口口一丂鸟
萼	艹口口一丂
屙	尸⻖可
谔	讠口口一丂
垩	亚土
腭	⺼口口一丂
莪	艹我
轭	车厂㔾
苊	艹厂㔾
锇	钅我
崿	山口口一丂
姶	女𠆢一口
涐	氵我
哦	口我
堨	土曰勹𠃊人
𥔲	石口口一丂
𫫇	口亚心
恩	因心
摁	扌因心
蒽	艹因心
而	丆冂丨丨
儿	丿乚
二	一一
尔	⺈小
耳	目一丨
饵	饣耳
迩	辶⺈小
贰	弋二贝
洱	氵耳
珥	𤣩耳
铒	钅耳
鸸	而鸟
陑	⻖而
鲕	鱼而
咡	口耳
耏	而彡
发	{𠃊丿}丶又
法	氵去
罚	罒讠刂
乏	丿之
伐	亻戈
阀	门亻戈
筏	竹亻戈
砝	石去
珐	𤣩去
垡	亻戈土
反	𠂆又
饭	饣𠂆又
翻	釆田习习
烦	火页
凡	几丶
犯	犭㔾
范	艹氵㔾
番	釆田
繁	𠂉母攵糸
返	辶𠂆又
泛	氵乏
帆	巾凡
贩	贝𠂆又
樊	木木乂乂大
藩	艹氵釆田
梵	木木凡
幡	巾釆田
蘩	艹𠂉母攵糸
璠	𤣩釆田
矾	石凡
畈	田𠂆又
燔	火釆田
钒	钅凡
氾	氵㔾
蹯	𧾷釆田
墦	土釆田
𫔍	钅釆田
𬸪	釆田鸟
放	方攵
房	户方
防	⻖方
方	亠丿𠃌
仿	亻方
芳	艹方
访	讠方
妨	女方
坊	土方
纺	纟方
肪	⺼方
舫	舟方
枋	木方
昉	日方
鲂	鱼方
邡	方⻏
钫	钅方
牥	牜方
蚄	虫方
飞	㇈丿丶
非	丨三丨三
费	弗贝
菲	艹非
废	广{𠃊丿}丶又
妃	女己
肥	⺼巴
啡	口非
匪	匚非
沸	氵弗
肺	⺼巿
绯	纟非
斐	非文
霏	雨非
翡	非习习
扉	户非
吠	口犬
诽	讠非
蜚	非虫
狒	犭弗
腓	⺼非
悱	忄非
淝	氵⺼巴
芾	艹巿
痱	疒非
榧	木匚非
鲱	鱼非
篚	竹匚非
朏	月出
棐	非木
镄	钅弗贝
剕	非刂
𬴂	马非
分	八刀
份	亻分
纷	纟分
奋	大田
愤	忄十廾贝
粉	米分
氛	气分
吩	口分
芬	艹分
焚	木木火
坟	土文
忿	分心
粪	米共
汾	氵分
酚	酉分
棼	木木分
偾	亻十廾贝
鲼	鱼十廾贝
棻	艹分木
鼢	臼{鼠下}分
翂	习习分
瀵	氵米田共
坋	土分
豮	豕十廾贝
𣸣	氵十廾贝
风	几乂
封	土土寸
凤	⺇又
峰	山夂丰
疯	疒风
锋	钅夂丰
枫	木风
丰	三丨
奉	𡗗𰀁
冯	冫马
缝	纟辶夂丰
逢	辶夂丰
讽	讠风
蜂	虫夂丰
烽	火夂丰
俸	亻𡗗𰀁
沣	氵丰
沨	氵风
酆	山丰丰一口䒑⻏
葑	艹土土寸
唪	口𡗗𰀁
砜	石风
赗	贝⺜目
浲	氵夂丰
崶	山土土寸
否	不口
缶	𠂉十凵
服	月卩又
夫	二人
父	八乂
复	𠂉日夂
福	礻𠮛田
府	广亻寸
副	𠮛田刂
负	⺈贝
付	亻寸
富	宀𠮛田
妇	女彐
附	⻖亻寸
伏	亻犬
傅	亻甫寸
浮	氵爫子
扶	扌夫
抚	扌无
符	竹亻寸
肤	⺼夫
腹	⺼𠂉日夂
幅	巾𠮛田
咐	口亻寸
覆	覀彳𠂉日夂
腐	广亻寸肉
弗	弓丿丨
赴	土龰卜
斧	父斤
俯	亻广亻寸
赋	贝戈一止
辅	车甫
芙	艹夫
拂	扌弗
甫	十丶用
俘	亻爫子
缚	纟甫寸
蝠	虫𠮛田
敷	甫方攵
脯	⺼甫
袱	衤亻犬
腑	⺼广亻寸
辐	车𠮛田
孚	爫子
驸	马亻寸
釜	父一土丷
苻	艹亻寸
匐	勹𠮛田
宓	宀必
阜	𠂤十
孵	卵爫子
馥	禾日𠂉日夂
茀	艹弗
涪	氵立口
茯	艹亻犬
凫	{鸟减一}几
蚨	虫夫
拊	扌亻寸
蝮	虫𠂉日夂
讣	讠卜
黼	业⺌冂小甫
趺	𧾷夫
怫	忄弗
氟	气弗
蜉	虫爫子
黻	业⺌冂小𠂇丶又
麸	龶夂夫
绂	纟𠂇丶又
跗	𧾷亻寸
鲋	鱼亻寸
罘	罒不
滏	氵父一土丷
郛	爫子⻏
菔	艹月卩又
桴	木爫子
幞	巾业䒑夫
祓	礻𠂇丶又
呋	口夫
绋	纟弗
莩	艹爫子
赙	贝甫寸
鄜	鹿⻏
芣	艹不
洑	氵亻犬
簠	竹甫皿
榑	木甫寸
稃	禾爫子
韨	韦𠂇丶又
玞	𤣩夫
砆	石夫
垺	土爫子
㕮	口父
㳇	氵父
琈	𤣩爫子
𫓧	钅夫
𫖯	兆页
尬	尢介
嘎	口𦣻戈
伽	亻力口
噶	口艹曰勹𠃊人
旮	九日
咖	口力口
尕	乃小
尜	小大小
轧	车乚
钆	钅乚
戛	𦣻戈
该	讠亠{丩}人
改	己攵
盖	𦍌皿
概	木{艮}旡
丐	一⺊㇉
钙	钅丐
溉	氵{艮}旡
赅	贝亠{丩}人
垓	土亠{丩}人
陔	⻖亠{丩}人
戤	乃又皿戈
荄	艹亠{丩}人
晐	日亠{丩}人
𬮿	⻖山己
感	戊{一}口心
干	一十
敢	{⿱𠃍耳}攵
赶	土龰干
甘	廿一
尴	尢丨丨𠂉丶皿
杆	木干
肝	⺼干
竿	竹干
橄	木{⿱𠃍耳}攵
赣	立日十夂工贝
秆	禾干
柑	木甘
擀	扌十十日𠆢干
玕	𤣩干
淦	氵金
泔	氵甘
矸	石干
坩	土甘
绀	纟甘
苷	艹甘
旰	日干
疳	疒甘
酐	酉干
澉	氵{⿱𠃍耳}攵
虷	虫干
鳡	鱼戊{一}口心
㽏	氵𠆢一口甘
刚	冂㐅刂
港	氵共巳
钢	钅冂㐅
岗	山冂㐅
冈	冂㐅
缸	缶工
纲	纟冂㐅
罡	罒正
杠	木工
肛	⺼工
筻	竹更
冮	冫工
矼	石工
堽	土罒正
戆	立日十夂工贝心
扛	扌工
㭎	木冂㐅
鿍	土夂㐄
高	亠口冂口
告	⺧口
搞	扌亠口冂口
糕	米𦍌灬
稿	禾亠口冂口
膏	亠口冂口⺝
羔	𦍌灬
皋	白大十
镐	钅亠口冂口
睾	丿⺫土丷干
篙	竹亠口冂口
诰	讠⺧口
槁	木亠口冂口
杲	日木
缟	纟亠口冂口
锆	钅⺧口
郜	⺧口⻏
藁	艹亠口冂口木
槔	木白大十
筶	竹⺧口
个	𠆢丨
哥	可可
各	夂口
格	木夂口
歌	可可欠
革	廿口十
隔	⻖鬲
阁	门夂口
葛	艹曰勹𠃊人
割	宀丰口刂
胳	⺼夂口
戈	弋丿
搁	扌门夂口
鸽	𠆢一口鸟
疙	疒𠂉乙
骼	冎⺼夂口
嗝	口鬲
硌	石夂口
咯	口夂口
铬	钅夂口
鬲	𠮛𦉰丨
圪	土𠂉乙
蛤	虫𠆢一口
舸	舟可
膈	⺼鬲
虼	虫𠂉乙
袼	衤夂口
哿	力口可
镉	钅鬲
仡	亻𠂉乙
饹	饣夂口
塥	土鬲
滆	氵鬲
合	𠆢一口
给	纟𠆢一口
跟	𧾷艮
根	木艮
亘	一旦
艮	日{𧘇-丿}
哏	口艮
茛	艹艮
更	一由丿乀
耿	耳火
哽	口更
耕	耒井
羹	𦍌灬𦍌大
庚	广⺕人
梗	木更
赓	广⺕人贝
埂	土更
鲠	鱼更
绠	纟更
浭	氵更
暅	日忄一旦
颈	𢀖页
鹒	广⺕人鸟
𬒔	石止⺝
公	八厶
工	一丄
功	工力
攻	工攵
宫	宀口口
共	卄一八
供	亻共
恭	共⺗
弓	𠃍一㇉
贡	工贝
躬	身弓
拱	扌共
龚	龙共
巩	工凡
蚣	虫公
觥	⺈用⺌一儿
汞	工水
肱	⺼𠂇厶
珙	𤣩共
䢼	共⻏
硔	石共
够	句夕夕
狗	犭句
构	木勾
勾	勹厶
购	贝勾
沟	氵勾
钩	钅勾
苟	艹句
垢	土𠂆一口
篝	竹𠀎冉
佝	亻句
媾	女𠀎冉
枸	木句
诟	讠𠂆一口
彀	士冖一弓殳
缑	纟亻ユ矢
遘	辶𠀎冉
鞲	革𠀎冉
笱	竹句
觏	𠀎冉见
岣	山句
姤	女𠂆一口
雊	句亻{隹右}
耇	耂句
句	勹口
古	十口
故	古攵
顾	厂㔾页
股	⺼殳
姑	女古
骨	冎⺼
孤	子瓜
谷	八人口
鼓	士口䒑支
固	囗古
估	亻古
咕	口古
辜	古辛
雇	户亻{隹右}
蛊	虫皿
菇	艹女古
汩	氵曰
箍	竹扌匚巾
锢	钅囗古
沽	氵古
贾	覀贝
鹘	冎⺼鸟
臌	⺼士口䒑支
牯	牜古
轱	车古
鸪	古鸟
梏	木⺧口
痼	疒囗古
钴	钅古
毂	士冖车殳
崮	山囗古
诂	讠古
瞽	士口䒑支目
菰	艹子瓜
蛄	虫古
羖	羊殳
觚	⺈用瓜
嘏	古尸二コ又
罟	罒古
榖	士冖一木殳
酤	酉古
馉	饣冎⺼
牿	牜⺧口
堌	土囗古
蓇	艹冎⺼
鲴	鱼囗古
呱	口瓜
鹄	⺧口鸟
瀔	氵士冖一禾殳
𦙶	⺼古
挂	扌土土
瓜	𠂆厶乀
刮	舌刂
寡	宀𦣻一分
卦	土土卜
褂	衤土土卜
剐	口内刂
鸹	舌鸟
诖	讠土土
栝	木舌
胍	⺼瓜
怪	忄又土
乖	千北
拐	扌口力
掴	扌囗玉
夬	ユ人
关	丷天
管	竹宀㠯
官	宀㠯
观	又见
馆	饣宀㠯
惯	忄毌贝
冠	冖元寸
贯	毌贝
灌	氵艹口口亻{隹右}
罐	缶艹口口亻{隹右}
棺	木宀㠯
倌	亻宀㠯
盥	𦥑水皿
掼	扌毌贝
涫	氵宀㠯
鳏	鱼⺫八小
鹳	艹口口亻{隹右}鸟
瓘	𤣩艹口口亻{隹右}
祼	礻果
琯	𤣩宀㠯
毌	{𠃊𠃌一(母-丶丶)}丨
筦	竹宀元
蒄	艹冖元寸
爟	火艹口口亻{隹右}
纶	纟仑
莞	艹宀元
鳤	鱼竹宀㠯
光	⺌一儿
广	丶厂
逛	辶犭王
咣	口⺌一儿
犷	犭广
胱	⺼⺌一儿
桄	木⺌一儿
洸	氵⺌一儿
珖	𤣩⺌一儿
垙	土⺌一儿
𨐈	车⺌一儿
鬼	丿{鬼-厶}厶
贵	中一贝
规	夫见
归	リ彐
跪	𧾷⺈厂㔾
柜	木巨
诡	讠⺈厂㔾
瑰	𤣩鬼
桂	木土土
龟	⺈电
轨	车九
闺	门土土
圭	土土
桧	木𠆢云
刽	𠆢云刂
癸	癶天
硅	石土土
妫	女为
珪	𤣩土土
皈	白𠂆又
晷	日夂卜口
鲑	鱼土土
刿	山夕刂
鳜	鱼厂屰欠
姽	女⺈厂㔾
簋	竹艮皿
庋	广支
宄	宀九
匦	匚车九
邽	土土⻏
鬶	夫见鬲
炅	日火
筀	竹土土
滚	氵衣公
棍	木日匕匕
衮	衣公
鲧	鱼丿糸
磙	石衣公
辊	车日匕匕
绲	纟日匕匕
过	辶寸
国	囗玉
果	田木
郭	亠口子⻏
锅	钅口内
裹	衣果
蝈	虫囗玉
聒	耳舌
帼	巾囗玉
椁	木亠口子
虢	爫寸虍几
埚	土口内
呙	口内
崞	山亠口子
腘	⺼囗玉
馘	丷一自戈口{一}
粿	米果
蜾	虫果
馃	饣果
涡	氵口内
𬇹	氵囗玉
哈	口𠆢一口
铪	钅𠆢一口
还	辶不
海	氵𠂉母
孩	子亠{丩}人
害	宀丰口
骇	马亠{丩}人
嗨	口氵𠂉母
骸	冎⺼亠{丩}人
亥	亠{丩}人
咳	口亠{丩}人
嗐	口宀丰口
氦	气亠{丩}人
醢	酉𠂇口皿
胲	⺼亠{丩}人
咍	口厶口
汉	氵又
寒	宀𠀎八⺀
喊	口戊{一}口
韩	十十日韦
汗	氵干
含	𠆢一㇇口
涵	氵凵了{水}
翰	十十日𠆢习习
憾	忄戊{一}口心
罕	⺳干
撼	扌戊{一}口心
悍	忄日干
瀚	氵十十日𠆢习习
函	凵了{水}
憨	{⿱𠃍耳}攵心
旱	日干
酣	酉甘
颔	𠆢一㇇口页
邯	甘⻏
捍	扌日干
鼾	自田丌干
晗	日𠆢一㇇口
菡	艹凵了{水}
焊	火日干
顸	干页
邗	干⻏
焓	火𠆢一㇇口
蚶	虫甘
扞	扌干
撖	扌{⿱𠃍耳}攵
暵	日艹中天
浛	氵𠆢一㇇口
琀	𤣩𠆢一㇇口
㘎	口门{⿱𠃍耳}攵
垾	土日干
崡	山凵了{水}
嵅	山戊{一}口
蔊	艹火日干
行	彳一丁
航	舟亠几
杭	木亠几
沆	氵亠几
颃	亠几页
绗	纟彳一丁
吭	口亠几
巷	共巳
好	女子
号	口丂
毫	亠口冖毛
豪	亠口冖豕
浩	氵⺧口
耗	耒毛
昊	日天
郝	赤⻏
嚎	口亠口冖豕
皓	白⺧口
壕	土亠口冖豕
嗥	口白大十
颢	日亠口小页
濠	氵亠口冖豕
蒿	艹亠口冂口
灏	氵日亠口小页
貉	豸夂口
蚝	虫毛
薅	艹女辰寸
皞	白白大十
淏	氵日天
嚆	口艹亠口冂口
鄗	亠口冂口⻏
和	禾口
何	亻可
喝	口曰勹𠃊人
呵	口可
河	氵可
赫	赤赤
核	木亠{丩}人
贺	力口贝
盒	𠆢一口皿
荷	艹亻可
鹤	冖亻{隹右}鸟
禾	丿木
褐	衤曰勹𠃊人
嗬	口艹亻可
壑	⺊𠔼又谷土
阖	门去皿
吓	口下
涸	氵囗古
劾	亠{丩}人力
颌	𠆢一口页
阂	门亠{丩}人
诃	讠可
郃	𠆢一口⻏
纥	纟𠂉乙
龢	𠆢一𠱠冂卄禾
鞨	革曰勹𠃊人
翮	鬲习习
曷	曰勹𠃊人
龁	止凵人𠂉乙
盍	去皿
菏	艹氵可
盉	禾皿
饸	饣𠆢一口
熇	火亠口冂口
鹖	曰勹𠃊人鸟
翯	习习亠口冂口
垎	土夂口
隺	冖亻{隹右}
𬌗	牙𠆢一口
黑	{里}灬
嘿	口{里}灬
𬭶	钅{里}灬
很	彳艮
狠	犭艮
恨	忄艮
痕	疒艮
𬣳	讠艮
哼	口亠口了
横	木黄
衡	彳一丁⺈田大
恒	忄一旦
亨	亠口了
蘅	艹彳一丁⺈田大
珩	𤣩彳一丁
姮	女一旦
桁	木彳一丁
鸻	彳一丁鸟
堼	土土寸土
红	纟工
轰	车又又
洪	氵共
虹	虫工
宏	宀𠂇厶
鸿	氵工鸟
哄	口共
弘	弓厶
烘	火共
泓	氵弓厶
闳	门𠂇厶
讧	讠工
薨	艹罒冖歹匕
訇	勹亠二口
荭	艹纟工
纮	纟𠂇厶
吽	口牛
竑	立𠂇厶
蕻	艹镸共
翃	𠂇厶习习
黉	𰃮黄
唝	口工贝
玒	𤣩工
谼	谷共
𫟹	钅共
𬭎	钅宀𠂇厶
后	𠂆一口
候	亻丨ユ矢
厚	厂曰子
吼	口子乚
侯	亻ユ矢
猴	犭亻ユ矢
喉	口亻ユ矢
逅	辶𠂆一口
篌	竹亻ユ矢
瘊	疒亻ユ矢
鲎	𰃮鱼
堠	土亻ユ矢
垕	𠂆一口土
齁	自田丌句
骺	冎⺼𠂆一口
糇	米亻ユ矢
郈	𠂆一口⻏
鲘	鱼𠂆一口
𬭤	钅亻ユ矢
乎	丿䒑亅
呼	口乎
忽	勿心
护	扌户
胡	古月
虎	虍几
湖	氵古月
糊	米古月
户	丶尸
互	一彑
狐	犭瓜
壶	士冖业
蝴	虫古月
惚	忄勿心
弧	弓瓜
唬	口虍几
葫	艹古月
沪	氵户
扈	户口巴
瑚	𤣩古月
琥	𤣩虍几
浒	氵讠𠂉十
斛	⺈用斗
囫	囗勿
祜	礻古
醐	酉古月
唿	口勿心
猢	犭古月
笏	竹勿
瓠	大一丂瓜
槲	木⺈用斗
怙	忄古
煳	火古月
鹕	古月鸟
滹	氵虍乎
觳	士冖一角殳
岵	山古
烀	火乎
鄠	雨一丂⻏
戽	户斗
縠	士冖一糸殳
冱	冫互
鹱	{鸟减一}一艹亻{隹右}又
淴	氵勿心
昒	日勿
鳠	鱼艹亻{隹右}又
嫭	女虍乎
轷	车乎
昈	日户
话	讠舌
花	艹亻𠤎
化	亻𠤎
华	亻𠤎十
划	戈刂
画	一凵田
滑	氵冎⺼
哗	口亻𠤎十
猾	犭冎⺼
桦	木亻𠤎十
骅	马亻𠤎十
婳	女一凵田
铧	钅亻𠤎十
砉	丰石
觟	⺈用土土
坏	土不
怀	忄不
淮	氵亻{隹右}
槐	木鬼
徊	彳囗口
踝	𧾷果
换	扌⺈{囗-一}大
缓	纟爫一𠂇又
环	𤣩不
幻	幺𠃌
唤	口⺈{囗-一}大
欢	又欠
患	串心
焕	火⺈{囗-一}大
桓	木一旦
鬟	E一厶彡⺫一口𧘇
宦	宀臣
寰	宀⺫一口𧘇
浣	氵宀元
痪	疒⺈{囗-一}大
涣	氵⺈{囗-一}大
奂	⺈{囗-一}大
圜	囗⺫一口𧘇
豢	龹豕
獾	犭艹口口亻{隹右}
洹	氵一旦
嬛	女⺫一口𧘇
缳	纟⺫一口𧘇
萑	艹亻{隹右}
鲩	鱼宀元
郇	勹日⻏
漶	氵串心
逭	辶宀㠯
擐	扌⺫一口𧘇
锾	钅爫一𠂇又
镮	钅⺫一口𧘇
澴	氵⺫一口𧘇
鹮	⺫一口𧘇鸟
貆	豸一旦
峘	山一旦
㬊	日爫一𠂇又
荁	艹一旦
𤩽	𤣩十冂丷干犬
𬘫	纟宀元
黄	卄一由八
皇	白王
晃	日⺌一儿
慌	忄艹亡𫶧
荒	艹亡𫶧
恍	忄⺌一儿
谎	讠艹亡𫶧
惶	忄白王
凰	⺇白王
煌	火白王
簧	竹黄
徨	彳白王
蝗	虫白王
幌	巾日⺌一儿
潢	氵黄
璜	𤣩黄
遑	辶白王
磺	石黄
隍	⻖白王
肓	亡⺝
湟	氵白王
蟥	虫黄
篁	竹白王
鳇	鱼白王
滉	氵日⺌一儿
喤	口白王
癀	疒黄
锽	钅白王
艎	舟白王
瑝	𤣩白王
媓	女白王
㿠	白⺌一儿
𨱑	钅黄
会	𠆢云
回	囗口
挥	扌冖车
灰	𠂇火
慧	丰丰彐心
辉	⺌一儿冖车
恢	忄𠂇火
毁	臼工殳
悔	忄𠂉母
惠	{惠-心}心
汇	氵匚
绘	纟𠆢云
徽	彳山攵丿糸
讳	讠韦
晖	日冖车
晦	日𠂉母
贿	贝𠂇月
秽	禾山夕
卉	十廾
麾	广木木毛
诲	讠𠂉母
蕙	艹{惠-心}心
彗	丰丰彐
诙	讠𠂇火
喙	口彑𧰨
荟	艹𠆢云
烩	火𠆢云
虺	兀虫
蛔	虫囗口
珲	𤣩冖车
咴	口𠂇火
茴	艹囗口
恚	土土心
洄	氵囗口
袆	衤韦
隳	⻖𠂇工月𠆢⺗
翚	习习冖车
翙	山夕习习
浍	氵𠆢云
蟪	虫{惠-心}心
硊	石⺈厂㔾
橞	木{惠-心}心
哕	口山夕
溃	氵中一贝
㧑	扌为
烠	火𠂇月
𬤝	讠{惠-心}心
𬭬	钅丰丰彐
混	氵日匕匕
婚	女氏日
魂	云鬼
昏	氏日
浑	氵冖车
荤	艹冖车
馄	饣日匕匕
诨	讠冖车
阍	门氏日
溷	氵囗豕
惛	忄氏日
碈	石氏日
或	戈口{一}
活	氵舌
火	丷人
伙	亻火
获	艹犭犬
惑	戈口{一}心
货	亻𠤎贝
祸	礻口内
霍	雨亻{隹右}
豁	宀丰口谷
夥	果夕夕
嚯	口雨亻{隹右}
藿	艹雨亻{隹右}
镬	钅艹亻{隹右}又
蠖	虫艹亻{隹右}又
攉	扌雨亻{隹右}
钬	钅火
嚄	口艹亻{隹右}又
锪	钅勿心
劐	艹亻{隹右}又刂
濩	氵艹亻{隹右}又
耠	耒𠆢一口
漷	氵亠口子⻏
㸌	火雨亻{隹右}
佸	亻舌
𬴃	马丰石
级	纟及
集	亻{隹右}木
几	丿㇈
及	丿㇋乀
机	木几
记	讠己
季	禾子
击	𰀁凵
急	⺈彐心
鸡	又鸟
挤	扌齐
系	丿糸
即	{艮}卩
既	{艮}旡
极	木及
计	讠十
激	氵白方攵
继	纟𠃊米
基	卄二一八土
寄	宀大可
忌	己心
己	コ乚
际	⻖示
纪	纟己
技	扌支
济	氵齐
迹	辶亠{亦下}
吉	士口
积	禾只
寂	宀上小又
疾	疒矢
姬	女𦣞
绩	纟龶贝
祭	𱼀龴示
肌	⺼几
辑	车口耳
籍	竹耒卄一日
圾	土及
妓	女支
嫉	女疒矢
饥	饣几
剂	齐刂
奇	大可
脊	人{冫⿱丿丶}⺝
稽	禾尤匕日
叽	口几
唧	口{艮}卩
讥	讠几
藉	艹耒卄一日
冀	北田共
戟	十十日戈
棘	朿朿
缉	纟口耳
悸	忄禾子
羁	罒革马
玑	𤣩几
伎	亻支
霁	雨齐
矶	石几
髻	E一厶彡士口
稷	禾田八夂
岌	山及
汲	氵及
畸	田大可
笈	竹及
觊	山己见
骥	马北田共
嵇	禾尤山
蓟	艹鱼刂
箕	竹卄二一八
佶	亻士口
瘠	疒人{冫⿱丿丶}⺝
畿	戈幺幺田
犄	牜大可
亟	了叹一
跻	𧾷齐
殛	歹亟
暨	{艮}旡旦
鲫	鱼{艮}卩
偈	亻曰勹𠃊人
齑	齐韭
蒺	艹疒矢
芨	艹及
屐	尸彳支
荠	艹齐
楫	木口耳
赍	十人人冖贝
乩	占乚
麂	鹿几
笄	竹开
芰	艹支
墼	車凵殳土
鹡	人{冫⿱丿丶}⺝鸟
剞	大可刂
戢	口耳戈
虮	虫几
伋	亻及
垍	土自
掎	扌大可
洎	氵自
跽	𧾷己心
嵴	山人{冫⿱丿丶}⺝
鲚	鱼齐
蕺	艹口耳戈
罽	罒厂火火刂
蹐	𧾷人{冫⿱丿丶}⺝
姞	女士口
漈	氵𱼀龴示
穄	禾𱼀龴示
耤	耒卄一日
觭	⺈用大可
惎	卄二一八心
期	卄二一八月
鱾	鱼己
㴔	氵⺈彐心
堲	{艮}卩土
徛	彳大可
枅	木开
瀱	氵罒厂火火刂
𪟝	龶贝力
𫌀	衤龶贝
𫓯	钅土土
𫓹	钅卄二一八
𬯀	⻖齐
𬶨	{艮}旡鱼
𬶭	鱼𱼀龴示
家	宀豕
加	力口
价	亻介
假	亻尸二コ又
架	力口木
甲	田丨
佳	亻土土
夹	一䒑人
嘉	士口䒑力口
嫁	女宀豕
驾	力口马
颊	夹页
迦	辶力口
茄	艹力口
稼	禾宀豕
枷	木力口
珈	𤣩力口
袈	力口衣
葭	艹尸二コ又
浃	氵夹
胛	⺼甲
痂	疒力口
笳	竹力口
岬	山甲
槚	木覀贝
钾	钅甲
荚	艹夹
郏	夹⻏
铗	钅夹
跏	𧾷力口
蛱	虫夹
恝	丰刀心
斝	口口冖斗
镓	钅宀豕
瘕	疒尸二コ又
泇	氵力口
𬂩	木夹
见	冂儿
间	门日
剑	佥刂
件	亻牛
建	廴聿
键	钅廴聿
渐	氵车斤
简	竹门日
坚	丨丨又土
肩	户⺝
箭	竹丷一⺝刂
舰	舟见
尖	小大
监	丨丨𠂉丶皿
健	亻廴聿
检	木佥
减	冫戊{一}口
奸	女干
艰	又艮
兼	丷一〢⺕八
鉴	丨丨𠂉丶金
贱	贝戋
捡	扌佥
剪	丷一⺝刂刀
溅	氵贝戋
践	𧾷戋
荐	艹𠂇丨子
歼	歹千
拣	扌𫠣
煎	丷一⺝刂灬
俭	亻佥
涧	氵门日
茧	艹虫
谏	讠柬
柬	十囗丷人
笺	竹戋
缄	纟戊{一}口
戬	亚日戈
锏	钅门日
碱	石戊{一}口
睑	目佥
翦	丷一⺝刂习习
饯	饣戋
蹇	宀𠀎八足
僭	亻兂兂曰
菅	艹宀㠯
毽	毛廴聿
腱	⺼廴聿
謇	宀𠀎八亠二口
蒹	艹兼
戋	戈一
槛	木丨丨𠂉丶皿
鞯	革艹𠂇丨子
笕	竹见
鹣	兼鸟
搛	扌兼
缣	纟兼
鞬	革廴聿
湔	氵丷一⺝刂
裥	衤门日
枧	木见
鲣	鱼丨丨又土
趼	𧾷开
谫	讠丷一⺝刂刀
踺	𧾷廴聿
楗	木廴聿
暕	日柬
牮	亻弋牛
篯	竹钅戋
犍	牜廴聿
鳒	鱼兼
𬣡	讠戋
将	丬夕寸
江	氵工
讲	讠井
降	⻖夂㐄
蒋	艹丬夕寸
奖	丬夕大
僵	亻畺
姜	𦍌女
疆	弓土畺
匠	匚斤
浆	丬夕水
酱	丬夕酉
缰	纟畺
绛	纟夂㐄
桨	丬夕木
犟	弓口虫牛
糨	米弓口虫
豇	豆工
茳	艹氵工
礓	石畺
洚	氵夂㐄
耩	耒𠀎冉
膙	⺼弓口虫
鳉	鱼丬夕寸
弶	弓亠口小
强	弓口虫
叫	口丩
教	耂子攵
交	亠父
脚	⺼去卩
角	⺈用
较	车亠父
娇	女夭{⿰丿丨}
焦	亻{隹右}灬
骄	马夭{⿰丿丨}
轿	车夭{⿰丿丨}
搅	扌𰃮见
狡	犭亠父
郊	亠父⻏
胶	⺼亠父
觉	𰃮见
嚼	口爫⺫艮寸
绞	纟亠父
剿	巛果刂
浇	氵𫠠丿兀
缴	纟白方攵
蛟	虫亠父
椒	木上小又
侥	亻𫠠丿兀
矫	矢夭{⿰丿丨}
饺	饣亠父
蕉	艹亻{隹右}灬
校	木亠父
礁	石亻{隹右}灬
皎	白亠父
窖	宀八⺧口
跤	𧾷亠父
佼	亻亠父
姣	女亠父
酵	酉耂子
鲛	鱼亠父
艽	艹九
湫	氵禾火
醮	酉亻{隹右}灬
铰	钅亠父
峤	山夭{⿰丿丨}
茭	艹亠父
徼	彳攵白方
鹪	亻{隹右}灬鸟
敫	白方攵
噍	口亻{隹右}灬
僬	亻亻{隹右}灬
峧	山亠父
滘	氵⺳工口
燋	火亻{隹右}灬
藠	艹白白白
皦	白白方攵
斠	𠀎冉斗
璬	𤣩白方攵
皭	白爫⺫艮寸
恔	忄亠父
䴔	亠父鸟
漖	氵耂子攵
接	扌立女
解	⺈用刀牛
姐	女且
结	纟士口
界	田介
节	艹𰆊
杰	木灬
街	彳一丁土土
借	亻卄一日
介	𠆢{⿰丿丨}
阶	⻖介
洁	氵士口
戒	戈廾
皆	匕匕白
劫	去力
截	戈十亻{隹右}
捷	扌{十⺕}龰
揭	扌曰勹𠃊人
竭	立曰勹𠃊人
届	尸由
婕	女{十⺕}龰
睫	目{十⺕}龰
诫	讠戈廾
桀	夕㐄木
芥	艹介
桔	木士口
诘	讠士口
颉	士口页
嗟	口⺶工
孑	了㇀
羯	羊曰勹𠃊人
拮	扌士口
秸	禾士口
玠	𤣩介
碣	石曰勹𠃊人
讦	讠干
疥	疒介
喈	口匕匕白
蚧	虫介
疖	疒𰆊
絜	丰刀糸
檞	木⺈用刀牛
劼	士口力
骱	冎⺼介
鲒	鱼士口
褯	衤广廿巾
湝	氵匕匕白
岊	巴山
楷	木匕匕白
㛃	丰刀女
悈	忄戈廾
蜐	虫去力
进	⻌井
今	𠆢一㇇
金	𠆢王丷
紧	丨丨又糸
近	辶斤
尽	尺⺀
