𤭢	亠人人十瓦
滗	氵竹毛
铋	钅必
庳	广{卑上}十
萆	艹{卑上}十
皕	百百
咇	口必
舭	舟匕匕
沘	氵匕匕
珌	𤣩必
觱	戊{一}口⺈用
诐	讠皮
邲	必⻏
佖	亻必
馝	禾日必
坒	匕匕土
泌	氵必
秘	禾必
鲾	鱼𠮛田
边	辶力
便	亻更
变	亠{亦下}又
遍	辶户冂卄
编	纟户冂卄
辩	辛辛讠
鞭	革亻更
辨	辛辛リ
扁	户冂卄
辫	辛辛纟
贬	贝乏
蝙	虫户冂卄
匾	匚户冂卄
卞	亠卜
汴	氵亠卜
弁	厶廾
砭	石乏
煸	火户冂卄
褊	衤户冂卄
笾	竹辶力
鳊	鱼户冂卄
昪	日厶廾
忭	忄亠卜
苄	艹亠卜
抃	扌亠卜
碥	石户冂卄
萹	艹户冂卄
𨚕	厶廾⻏
表	龶𧘇
标	木示
镖	钅覀示
彪	虍几彡
飙	犬犬犬风
婊	女龶𧘇
骠	马覀示
镳	钅鹿灬
膘	⺼覀示
裱	衤龶𧘇
杓	木勺
飑	风包
俵	亻龶𧘇
鳔	鱼覀示
摽	扌覀示
瘭	疒覀示
熛	火覀示
藨	艹鹿灬
儦	亻鹿灬
骉	马马马
瀌	氵鹿灬
幖	巾覀示
脿	⺼龶𧘇
别	口力刂
憋	⺌冂小攵心
瘪	疒自仑
鳖	⺌冂小攵鱼
蹩	⺌冂小攵足
癿	白乚
宾	宀丘八
彬	木木彡
斌	文戈一止
滨	氵宀丘八
鬓	E一厶彡宀丘八
缤	纟宀丘八
镔	钅宀丘八
濒	氵止𣥂页
槟	木宀丘八
殡	歹宀丘八
膑	⺼宀丘八
摈	扌宀丘八
玢	𤣩分
傧	亻宀丘八
豳	山豕豕
邠	分⻏
髌	冎⺼宀丘八
并	丷开
兵	丘八
冰	冫水
病	疒一内
柄	木一内
饼	饣丷开
禀	亠囗口示
秉	千⺕人
丙	一内
炳	火一内
摒	扌尸丷开
屏	尸丷开
邴	丙⻏
昺	日一内
蛃	虫一内
波	氵皮
博	十甫寸
脖	⺼十冖子
拨	扌{𠃊丿}丶又
播	扌釆田
勃	十冖子力
玻	𤣩皮
膊	⺼甫寸
搏	扌甫寸
驳	马乂乂
泊	氵白
簸	竹卄二一八皮
帛	白巾
钵	钅本
跛	𧾷皮
渤	氵十冖子力
菠	艹氵皮
礴	石艹氵甫寸
啵	口氵皮
舶	舟白
卜	丨丶
饽	饣十冖子
铂	钅白
钹	钅𠂇丶又
箔	竹氵白
亳	亠口冖丿七
擘	尸口辛手
檗	尸口辛木
鹁	十冖子鸟
僰	朿朿人
踣	𧾷立口
镈	钅甫寸
砵	石本
鲌	鱼白
哱	口十冖子
嶓	山釆田
浡	氵十冖子
馞	禾日十冖子
艴	弗⺈巴
蕃	艹釆田
欂	木艹氵甫寸
袯	衤{𠃊丿}丶又
𬭛	钅氵皮
不	丆卜
部	立口⻏
步	止𣥂
布	𠂇巾
补	衤卜
怖	忄𠂇巾
捕	扌甫
簿	竹氵甫寸
埔	土甫
哺	口甫
埠	土阜
卟	口卜
逋	辶甫
钚	钅不
晡	日甫
瓿	立口瓦
醭	酉业䒑夫
蔀	艹立口⻏
埗	土止𣥂
𬷕	甫鸟
擦	扌宀𱼀龴示
